Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Pearson,1968-02-13,York Centre,1998-05-02,Richard Stanbury,Liberal,ON
Trudeau,1981-07-02,Bloor & Yonge,2010-11-29,Peter Stollery,Liberal,ON
Diefenbaker,1957-10-12,North York,1985-02-18,Joseph Albert Sullivan,Progressive Conservative,ON
Macdonald,1885-01-29,Kingston,1912-11-29,Michael Sullivan,Conservative,ON
Bennett,1935-07-20,Oxford,1949-01-01,Donald Sutherland,Conservative,ON
Borden,1911-11-14,Leeds,1919-03-26,George Taylor,Conservative,ON
King,1945-04-18,Norfolk,1966-06-01,William Horace Taylor,Liberal,ON
Pearson,1967-04-06,Dovercourt,1998-03-23,Andy Thompson,Liberal,ON
Chr̩tien,2001-03-08,Grafton,2002-06-16,James Tunney,Liberal,ON
Turner,1984-07-09,London,1991-03-24,Charles Turner,Liberal,ON
Macdonald,1884-01-11,Ontario,1889-10-10,James Turner,Liberal-Conservative,ON
Macdonald,1873-01-15,Sarnia,1906-11-18,Alexander Vidal,Conservative,ON
Diefenbaker,1963-02-04,Toronto,1989-09-30,David James Walker,Progressive Conservative,ON
Borden,1918-03-12,Brockville,1928-12-01,John Webster,Conservative,ON
Chr̩tien,1996-08-09,South Western Ontario,1999-07-11,Eugene Whelan,Liberal,ON
Diefenbaker,1957-09-20,Hastings-Frontenac,1972-11-17,George Stanley White,Progressive Conservative,ON
Borden,1919-11-06,Pembroke,1948-10-24,Gerald Verner White,Conservative,ON
Diefenbaker,1962-06-15,Peel,1972-03-23,Harry Albert Willis,Progressive Conservative,ON
King,1930-02-15,Rockcliffe,1962-03-03,Cairine Wilson,Liberal,ON
Laurier,1904-03-08,St. Thomas,1912-07-03,John Henry Wilson,Liberal,ON
Chr̩tien,1998-06-11,Toronto,2002-04-08,Lois Miriam Wilson,Independent,ON
Laurier,1901-01-21,Hamilton,1903-01-21,Andrew Trew Wood,Liberal,ON
St. Laurent,1953-05-19,Toronto Centre,1966-03-03,Allan Lee Woodrow,Liberal,ON
